movieId: 6458; movieTitle: Seven Men from Now; country: us; pepleId: 7471; credit: A
movieId: 6570; movieTitle: Blow Out; country: us; pepleId: 7943; credit: A
movieId: 6626; movieTitle: The Black Rose; country: us; pepleId: 14392; credit: A
movieId: 6708; movieTitle: Série noire; country: fr; pepleId: 6121; credit: D
movieId: 6758; movieTitle: '76; country: ng; pepleId: 8506; credit: A
movieId: 6767; movieTitle: Little Women; country: us; pepleId: 4497; credit: A
movieId: 6819; movieTitle: Great Expectations; country: us; pepleId: 3473; credit: D
movieId: 7090; movieTitle: Star Spangled Rhythm; country: us; pepleId: 12378; credit: A
movieId: 7251; movieTitle: Call Me by Your Name; country: it; pepleId: 3328; credit: A
movieId: 7503; movieTitle: Coco; country: us; pepleId: 5314; credit: A
movieId: 7506; movieTitle: 7aum Arivu; country: in; pepleId: 13968; credit: A
movieId: 7507; movieTitle: 8 Mile; country: us; pepleId: 9295; credit: A
movieId: 7510; movieTitle: A Business Affair; country: gb; pepleId: 13251; credit: A
movieId: 7511; movieTitle: A Child Is Waiting; country: us; pepleId: 14725; credit: A
movieId: 7512; movieTitle: A Civil Action; country: us; pepleId: 14419; credit: A
movieId: 7513; movieTitle: A Day Without a Mexican; country: us; pepleId: 9867; credit: A
movieId: 7515; movieTitle: Posti in piedi in paradiso; country: it; pepleId: 14313; credit: A
movieId: 7517; movieTitle: Ssanghwajeom; country: kr; pepleId: 10678; credit: A
movieId: 7518; movieTitle: A Goofy Movie; country: us; pepleId: 4188; credit: A
movieId: 7519; movieTitle: A Knight's Tale; country: us; pepleId: 11282; credit: A
movieId: 7674; movieTitle: Bulong; country: ph; pepleId: 3184; credit: D
movieId: 8209; movieTitle: Monsters University; country: us; pepleId: 7210; credit: A
movieId: 8210; movieTitle: Moon Over Parador; country: us; pepleId: 16113; credit: D
